knownToRefSeq.value	refGene.name	refGene.chrom	refGene.strand	refGene.txStart	refGene.txEnd	refGene.cdsStart	refGene.cdsEnd	refGene.exonStarts	refGene.exonEnds	refGene.name2
NM_021071	NM_021071	chr12	-	14825568	14843526	14829370	14843113	14825568,14840444,14842969,	14829462,14841153,14843526,	ART4
NM_003612	NM_003612	chr15	-	74409288	74433958	74410623	74433918	74409288,74411294,74411555,74411884,74414546,74414837,74415800,74416574,74417334,74417590,74417876,74418267,74418800,74433740,	74410985,74411356,74411710,74412012,74414745,74414946,74415985,74416714,74417445,74417675,74417969,74418309,74418952,74433958,	SEMA7A
NM_000342	NM_000342	chr17	-	44248389	44268135	44250457	44262866	44248389,44251158,44251418,44253117,44254495,44255206,44255672,44257349,44257658,44257985,44258412,44259162,44259496,44259808,44260403,44260634,44261574,44262635,44262851,44268053,	44250538,44251332,44251588,44253371,44254662,44255296,44255846,44257544,44257807,44258180,44258623,44259344,44259581,44259932,44260539,44260815,44261636,44262726,44262934,44268135,	SLC4A1
NM_015865	NM_015865	chr18	+	45724180	45752520	45730320	45749951	45724180,45724949,45730299,45731014,45734273,45736455,45739162,45739527,45748375,45749777,	45724273,45725013,45730471,45731204,45734402,45736648,45739310,45739662,45748425,45752520,	SLC14A1
NM_000148	NM_000148	chr19	-	48748010	48755358	48750183	48751281	48748010,48752489,48753324,48755289,	48751283,48753122,48753563,48755358,	FUT1
NM_000511	NM_000511	chr19	+	48695970	48705951	48702956	48703988	48695970,48702954,	48696089,48705951,	FUT2
NM_001544	NM_001544	chr19	+	10286954	10288520	10287012	10288104	10286954,10287535,10287985,	10287406,10287838,10288520,	ICAM4
NM_001728	NM_001728	chr19	+	572595	583493	572634	582577	572595,577773,579499,580378,580645,581314,582305,582513,582749,	572701,578121,579656,580461,580782,581591,582330,582582,583493,	BSG
NM_005581	NM_005581	chr19	+	44809102	44821421	44809124	44820921	44809102,44811224,44812162,44812477,44813249,44813437,44814151,44814603,44818521,44818740,44819055,44819345,44819581,44820704,44820915,	44809206,44811346,44812391,44812548,44813346,44813620,44814288,44814760,44818637,44818882,44819192,44819490,44819726,44820822,44821421,	BCAM
NM_006563	NM_006563	chr19	-	12884422	12887201	12884884	12887140	12884422,12885316,12887053,	12885060,12886142,12887201,	KLF1
NM_017436	NM_017436	chr22	-	42692120	42720870	42692889	42693951	42692120,42695490,42720796,	42693997,42695631,42720870,	A4GALT
