knownToRefSeq.value	refGene.name	refGene.chrom	refGene.strand	refGene.txStart	refGene.txEnd	refGene.cdsStart	refGene.cdsEnd	refGene.exonStarts	refGene.exonEnds	refGene.name2	System
NM_016124	NM_016124	chr1	+	25598976	25656936	25599038	25655415	25598976,25611063,25617131,25627436,25628010,25629812,25633086,25643490,25648379,25655388,	25599186,25611250,25617282,25627584,25628177,25629950,25633220,25643570,25648453,25656936,	RHD	RHD
NM_017436	NM_017436	chr22	-	43088126	43116876	43088895	43089957	43088126,43091496,43116802,	43090003,43091637,43116876,	A4GALT	P1PK
NM_018538	NM_018538	chr1	+	43291248	43310660	43296119	43308903	43291248,43296114,43296438,43300708,43301402,43302828,43304571,43305703,43305822,43305940,43308187,	43291409,43296204,43296786,43300825,43301435,43302861,43304592,43305724,43305849,43305967,43310660,	ERMAP	ERMAP
NM_020469	NM_020469	chr9	-	136125787	136150617	136131052	136150605	136125787,136132795,136133486,136135222,136136720,136137501,136150577,	136131743,136132929,136133522,136135270,136136777,136137571,136150617,	ABO	ABO
NM_020485	NM_020485	chr1	-	25688739	25747405	25689017	25747277	25688739,25696957,25701839,25712201,25715466,25717239,25718484,25729086,25735173,25747129,	25689044,25697031,25701919,25712335,25715604,25717406,25718632,25729237,25735360,25747405,	RHCE	RHCE
NM_021071	NM_021071	chr12	-	14978502	14996460	14982304	14996047	14978502,14993378,14995903,	14982396,14994087,14996460,	ART4	DO
NM_021083	NM_021083	chrX	+	37545043	37591383	37545214	37587715	37545043,37553538,37586888,	37545459,37553801,37591383,	XK	XK
NM_033169	NM_033169	chr3	-	160801670	160822683	160803546	160804542	160801670,160818926,160821214,160822106,160822572,	160804576,160819021,160821305,160822194,160822683,	B3GALNT1	GLOB
NM_145649	NM_145649	chr6	+	10521567	10629601	10529144	10626840	10521567,10527706,10528863,10621583,10626649,	10521650,10527893,10530069,10621676,10629601,	GCNT2	GCNT2
NM_175569	NM_175569	chrX	+	2670092	2734541	2670315	2732421	2670092,2688590,2692756,2700106,2707684,2712575,2715350,2726225,2729376,2732404,	2670376,2688632,2692780,2700169,2707747,2712644,2715401,2726261,2729493,2734541,	XG	XG
NM_198098	NM_198098	chr7	+	30951308	30965132	30951524	30963244	30951308,30961680,30962178,30963064,	30951908,30961845,30962259,30965132,	AQP1	CO
NM_015831	NM_015831.2	chr7	-	100487614	100493541	100488578	100491853	100487614,100488789,100489954,100490785,100493422,	100488709,100488959,100490439,100491873,100493541,	ACHE	ACHE
